dram-queue.total-time-used = 6507401072, 0, 0, 0, 6389391208, 0, 0, 0, 6380961932, 0, 0, 0, 6288239896, 0, 0, 0, 6246093516, 0, 0, 0, 6229234964, 0, 0, 0, 6305098448, 0, 0, 0, 6330386276, 0, 0, 0, 6583264556, 0, 0, 0
dram.reads = 772, 0, 0, 0, 758, 0, 0, 0, 757, 0, 0, 0, 746, 0, 0, 0, 741, 0, 0, 0, 739, 0, 0, 0, 748, 0, 0, 0, 751, 0, 0, 0, 781, 0, 0, 0
dram.total-access-latency = 41583393558, 0, 0, 0, 41019262245, 0, 0, 0, 40812766629, 0, 0, 0, 40388892712, 0, 0, 0, 40097099147, 0, 0, 0, 39873621607, 0, 0, 0, 40318084477, 0, 0, 0, 40490921910, 0, 0, 0, 42123721670, 0, 0, 0
dram.total-queueing-delay = 335992486, 0, 0, 0, 519871037, 0, 0, 0, 366804697, 0, 0, 0, 530652816, 0, 0, 0, 506005631, 0, 0, 0, 389386643, 0, 0, 0, 352986029, 0, 0, 0, 365535634, 0, 0, 0, 395457114, 0, 0, 0
dram.writes = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
dtlb.access = 18693442, 2757762, 2759755, 2759641, 2756530, 2759530, 2760030, 2758645, 2761830, 2761530, 2757130, 2759930, 2758430, 2757330, 2759330, 2760730, 2757530, 2760930, 2761330, 2757130, 2760830, 2757330, 2758330, 2759030, 2760830, 2758030, 2760030, 2760930, 2757730, 2760630, 2756930, 2759330, 2758030, 2761030, 2759130, 2759130
dtlb.miss = 3160, 49, 41, 42, 31, 31, 31, 52, 37, 31, 31, 31, 31, 31, 31, 31, 32, 37, 31, 31, 31, 31, 31, 31, 31, 32, 37, 31, 31, 31, 31, 31, 31, 31, 32, 37
dtlb_cache.access-mru-0 = 17432284, 2529103, 2643599, 2554680, 2583295, 2599205, 2609999, 2573147, 2566595, 2632808, 2617799, 2631607, 2517106, 2629208, 2518004, 2597597, 2560103, 2553903, 2538597, 2354091, 2538305, 2535105, 2626305, 2627104, 2628705, 2623805, 2545006, 2585404, 2528307, 2617708, 2612600, 2617208, 2615906, 2617908, 2585606, 2603104
dtlb_cache.access-mru-1 = 1002990, 164411, 50411, 144617, 95407, 81400, 88200, 123946, 155705, 94794, 71605, 94394, 207395, 94194, 207397, 129201, 152298, 136097, 120311, 313014, 131602, 132201, 41402, 41602, 41203, 52001, 170193, 113399, 156095, 80795, 82203, 79995, 79996, 80995, 111397, 93395
dtlb_cache.access-mru-2 = 187313, 64198, 65700, 60300, 77797, 45297, 61799, 27601, 31996, 33897, 67695, 33898, 33898, 33897, 33898, 33901, 11200, 61394, 68494, 89993, 90892, 89993, 90592, 90293, 90891, 82192, 44793, 62096, 39400, 62096, 62096, 62096, 62097, 62096, 62095, 35796
dtlb_cache.access-mru-3 = 67695, 1, 4, 2, 0, 33597, 1, 33899, 7497, 0, 0, 0, 0, 0, 0, 0, 33897, 9499, 33897, 1, 0, 0, 0, 0, 0, 0, 1, 0, 33897, 0, 0, 0, 0, 0, 0, 26798
